Model,Feature Set,Threshold,Precision,Recall,F1-score,ROC-AUC,PR-AUC
Logistic Regression,Baseline,0.5,0.07100591715976332,0.4506258692628651,0.12268080272624006,0.49300883010781327,0.07214949515830989
Logistic Regression,Baseline,0.4382894513765693,0.07424420467898729,0.9666203059805285,0.1378968253968254,0.49300883010781327,0.07214949515830989
Logistic Regression,Enhanced,0.5,0.07437295528898583,0.47426981919332406,0.12858220211161386,0.5031169392822972,0.07463246366182257
Logistic Regression,Enhanced,0.4369403940921371,0.07458858730497969,0.9707927677329624,0.13853329363897984,0.5031169392822972,0.07463246366182257
Random Forest,Baseline,0.5,0.0626118067978533,0.048678720445062586,0.054773082942097026,0.5110787089781909,0.07444566429339844
Random Forest,Baseline,0.012744446432064082,0.07850746268656716,0.7315716272600834,0.14179808599541718,0.5110787089781909,0.07444566429339844
Random Forest,Enhanced,0.5,0.06191369606003752,0.0458970792767733,0.052715654952076675,0.5076680081673719,0.07355952736007457
Random Forest,Enhanced,0.007404209965361044,0.07601540181343933,0.8511821974965229,0.13956670467502852,0.5076680081673719,0.07355952736007457
XGBoost,Baseline,0.5,0.07386363636363637,0.3616133518776078,0.12267044114177872,0.5042922165833161,0.07384960954378912
XGBoost,Baseline,0.31074848771095276,0.07519397535371976,0.9165507649513213,0.13898555309501212,0.5042922165833161,0.07384960954378912
XGBoost,Enhanced,0.5,0.06963869463869464,0.33240611961057026,0.115152975186702,0.4935411765503704,0.07336053042758822
XGBoost,Enhanced,0.22629497945308685,0.07432432432432433,0.9638386648122392,0.1380065717415115,0.4935411765503704,0.07336053042758822
